#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | Epeak | Epeak_low | Epeak_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180721A   |    849018    | -6.363640e-01 | -1.547580e+00 | 8.261670e-01 | 1.204110e+02 | 6.375520e+01 | 0.000000e+00 | 1.457160e-02 | 6.546340e-03 | 7.964600e-02 | 57.33 | 56 | 1.024 | 4.254969e-01 | 50.0000 | 1 | 1.816000 | 2.816000 |  
GRB180720C   |    848932    | -8.305510e-01 | -1.363010e+00 | 3.171440e-01 | 1.564590e+02 | 0.000000e+00 | 0.000000e+00 | 1.554700e-02 | 8.865250e-03 | 5.022450e-02 | 62.25 | 56 | 1.112 | 2.635974e-01 | 50.0000 | 1 | 3.220000 | 4.220000 |  
GRB180720B   |    848890    | -6.635090e-01 | -9.146450e-01 | -3.972830e-01 | 2.147390e+02 | 1.480000e+02 | 5.364550e+02 | 8.533910e-01 | 6.642260e-01 | 1.111830e+00 | 68.22 | 56 | 1.218 | 1.267865e-01 | 50.0000 | 1 | 10.936000 | 11.936000 |  
GRB180718A   |    848489    | -6.888470e-01 | -2.179720e+00 | 4.197320e+00 | 5.393300e+01 | 4.415160e+00 | 0.000000e+00 | 2.898710e-02 | 0.000000e+00 | 3.356890e+01 | 57.30 | 56 | 1.023 | 4.268534e-01 | 50.0000 | 1 | -0.448000 | 0.552000 |  
GRB180715A   |    848048    | -1.570660e-01 | -8.036670e-01 | 1.738450e+00 | 2.377640e+02 | 0.000000e+00 | 0.000000e+00 | 1.584200e-02 | 8.772150e-03 | 6.519480e-02 | 52.60 | 56 | 0.9394 | 6.041797e-01 | 50.0000 | 1 | -0.256000 | 0.744000 |  
GRB180709A   |    846868    | -8.172510e-01 | -0.000000e+00 | 1.144680e+00 | 3.621690e+02 | 0.000000e+00 | 0.000000e+00 | 6.174680e-03 | 3.823120e-03 | 3.181240e-02 | 63.45 | 56 | 1.133 | 2.305513e-01 | 50.0000 | 1 | 8.732000 | 9.732000 |  
GRB180706A   |    846395    | -9.947790e-01 | -1.475940e+00 | -4.528040e-01 | 6.704820e+01 | 5.451270e+01 | 1.101810e+02 | 5.610070e-02 | 3.163600e-02 | 1.074740e-01 | 47.52 | 56 | 0.8485 | 7.829541e-01 | 50.0000 | 1 | 27.824000 | 28.824000 |  
GRB180705A   |    846299    | -8.083610e-01 | -2.231980e+00 | 7.281060e+00 | 6.961720e+01 | 0.000000e+00 | 0.000000e+00 | 1.624460e-02 | 0.000000e+00 | 8.932510e+00 | 41.98 | 56 | 0.7497 | 9.177562e-01 | 50.0000 | 1 | 3.264000 | 4.264000 |  
GRB180704A   |    846088    | 3.792320e-01 | -5.549200e-01 | 1.580210e+00 | 1.005520e+02 | 8.076770e+01 | 1.641870e+02 | 3.313160e-01 | 1.417170e-01 | 9.437860e-01 | 60.76 | 56 | 1.085 | 3.083305e-01 | 50.0000 | 1 | 0.044000 | 1.044000 |  
GRB180630A   |    845443    | -2.069840e+00 | -2.246630e+00 | -1.682840e+00 | 6.393810e+01 | N/A | N/A | 4.050200e-02 | N/A | N/A | 47.91 | 56 | 0.8556 | 7.704891e-01 | 50.0000 | 1 | 3.648000 | 4.648000 |  
GRB180626A   |    844615    | -5.079570e-02 | -8.857220e-01 | 9.823600e-01 | 5.585590e+01 | 4.859360e+01 | 6.800620e+01 | 2.266530e-01 | 8.519030e-02 | 7.698100e-01 | 45.99 | 56 | 0.8213 | 8.275885e-01 | 50.0000 | 1 | -3.692000 | -2.692000 |  
GRB180624A   |    844192    | -1.875130e+00 | -2.193000e+00 | -1.577750e+00 | 9.999330e+03 | N/A | N/A | 9.733870e-03 | N/A | N/A | 44.89 | 56 | 0.8017 | 8.563374e-01 | 50.0000 | 1 | 6.016000 | 7.016000 |  
GRB180623A   |    844015    | -1.224330e+00 | -1.342010e+00 | -9.327890e-01 | 5.255880e+02 | 0.000000e+00 | 0.000000e+00 | 4.890270e-02 | 4.028090e-02 | 6.646560e-02 | 50.93 | 56 | 0.9095 | 6.665418e-01 | 50.0000 | 1 | 59.108000 | 60.108000 |  
GRB180620B   |    843211    | -7.991760e-01 | -1.141170e+00 | -3.707040e-01 | 2.318740e+02 | N/A | N/A | 4.273520e-02 | N/A | N/A | 51.47 | 56 | 0.9190 | 6.469605e-01 | 50.0000 | 1 | -0.332000 | 0.668000 |  
GRB180620A   |    843122    | -1.466740e+00 | -1.637340e+00 | -1.132630e+00 | 3.118240e+02 | 0.000000e+00 | 0.000000e+00 | 6.737900e-02 | 5.806960e-02 | 9.738730e-02 | 69.15 | 56 | 1.235 | 1.114549e-01 | 50.0000 | 1 | 4.468000 | 5.468000 |  
GRB180618A   |    842475    | -9.694460e-01 | -1.147070e+00 | -3.029820e-01 | 9.981020e+03 | 0.000000e+00 | 0.000000e+00 | 1.887920e-02 | 1.700290e-02 | 3.666750e-02 | 45.94 | 56 | 0.8203 | 8.290496e-01 | 50.0000 | 1 | -0.076000 | 0.924000 |  
GRB180614A   |    841548    | 1.688620e-01 | -1.335880e+00 | 2.715250e+00 | 8.082410e+01 | 5.830960e+01 | 0.000000e+00 | 2.682040e-02 | 0.000000e+00 | 3.393100e-01 | 55.36 | 56 | 0.9886 | 4.990201e-01 | 50.0000 | 1 | 1.564000 | 2.564000 |  
GRB180613A   |    840853    | 5.628820e-01 | -1.909910e+00 | -0.000000e+00 | 4.359170e+01 | 2.727400e+01 | 7.225940e+03 | 5.298680e-02 | 0.000000e+00 | 2.447520e+05 | 59.79 | 56 | 1.068 | 3.396590e-01 | 50.0000 | 1 | 42.988000 | 43.988000 |  
GRB180602A   |    835200    | -8.548010e-01 | -2.044810e+00 | 6.217370e-01 | 1.490980e+02 | 0.000000e+00 | 0.000000e+00 | 1.281050e-02 | 6.836980e-03 | 6.778540e-02 | 49.60 | 56 | 0.8856 | 7.143947e-01 | 50.0000 | 1 | -19.572000 | -18.572000 |  
GRB180514A   |    832368    | -1.740900e+00 | -2.791150e+00 | -3.128620e-01 | 8.018980e+02 | 1.004650e-02 | 0.000000e+00 | 5.518140e-03 | 4.070580e-03 | 3.754020e-02 | 49.44 | 56 | 0.8828 | 7.198564e-01 | 50.0000 | 1 | 0.292000 | 1.292000 |  
GRB180512A   |    832119    | -1.983040e+00 | -2.015200e+00 | -5.984110e-01 | 9.760010e-01 | 3.188590e+02 | 0.000000e+00 | 7.547330e-03 | 0.000000e+00 | 4.458670e-03 | 78.69 | 56 | 1.405 | 2.446624e-02 | 50.0000 | 1 | 54.000000 | 55.000000 |  
GRB180510B   |    831816    | -1.336040e+00 | -2.282430e+00 | 1.218990e-01 | 9.541110e+01 | 0.000000e+00 | 0.000000e+00 | 1.392860e-02 | 0.000000e+00 | 8.426420e-02 | 72.47 | 56 | 1.294 | 6.853521e-02 | 50.0000 | 1 | 0.964000 | 1.964000 |  
GRB180510A   |    831810    | -1.175090e+00 | -1.399420e+00 | -6.781420e-01 | 9.999070e+02 | 0.000000e+00 | 0.000000e+00 | 3.025180e-02 | N/A | N/A | 51.37 | 56 | 0.9173 | 6.505007e-01 | 50.0000 | 1 | 8.268000 | 9.268000 |  
GRB180504A   |    830822    | -1.520070e+00 | -1.952120e+00 | -5.116820e-01 | 9.999340e+03 | 0.000000e+00 | 0.000000e+00 | 6.664400e-03 | 5.020120e-03 | 2.262280e-02 | 57.79 | 56 | 1.032 | 4.088281e-01 | 50.0000 | 1 | 16.804000 | 17.804000 |  
GRB180425A   |    828672    | -1.796940e-01 | -1.073120e+00 | 1.531930e+00 | 1.671220e+02 | 0.000000e+00 | 0.000000e+00 | 3.234620e-02 | 1.497480e-02 | 1.318600e-01 | 69.65 | 56 | 1.244 | 1.038778e-01 | 50.0000 | 1 | 1.188000 | 2.188000 |  
GRB180418A   |    826428    | -1.342980e+00 | -1.508420e+00 | -9.726970e-01 | 5.064630e+02 | 0.000000e+00 | 0.000000e+00 | 2.676000e-02 | 2.334740e-02 | 4.057090e-02 | 60.89 | 56 | 1.087 | 3.043257e-01 | 50.0000 | 1 | 0.236000 | 1.236000 |  
GRB180411A   |    824451    | -9.907820e-01 | -1.146890e+00 | -7.265290e-01 | 4.545190e+02 | 0.000000e+00 | 0.000000e+00 | 5.816810e-02 | 4.965210e-02 | 7.600290e-02 | 58.26 | 56 | 1.040 | 3.920748e-01 | 50.0000 | 1 | 51.740000 | 52.740000 |  
GRB180410A   |    824063    | 2.886780e-01 | -9.941760e-01 | 3.581230e+00 | 1.261970e+02 | 7.009530e+01 | 0.000000e+00 | 1.813830e-02 | 0.000000e+00 | 3.421670e-01 | 68.79 | 56 | 1.228 | 1.171652e-01 | 50.0000 | 1 | 25.704000 | 26.704000 |  
GRB180407A   |    823001    | -1.115800e+00 | -2.225580e+00 | 8.033850e-01 | 6.366260e+01 | N/A | N/A | 1.421300e-02 | N/A | N/A | 55.28 | 56 | 0.9871 | 5.022646e-01 | 50.0000 | 1 | 2.172000 | 3.172000 |  
GRB180404B   |    821902    | -3.205940e-01 | -6.238650e-01 | 6.298660e-03 | 2.126810e+02 | 1.498830e+02 | 4.670850e+02 | 7.175330e-02 | 5.352550e-02 | 9.804710e-02 | 51.31 | 56 | 0.9163 | 6.525530e-01 | 50.0000 | 1 | 8.880000 | 9.880000 |  
GRB180404A   |    821881    | -1.580760e+00 | -2.407090e+00 | -7.906130e-01 | 2.029490e+02 | 1.000010e-02 | 0.000000e+00 | 1.131690e-02 | N/A | N/A | 54.38 | 56 | 0.9710 | 5.365214e-01 | 50.0000 | 1 | 1.992000 | 2.992000 |  
GRB180402A   |    821103    | -7.684400e-01 | -1.175600e+00 | 4.131490e-01 | 6.814280e+02 | 0.000000e+00 | 0.000000e+00 | 1.759160e-02 | 1.336720e-02 | 4.863400e-02 | 69.91 | 56 | 1.248 | 1.000747e-01 | 50.0000 | 1 | -0.340000 | 0.660000 |  
GRB180331B   |    820513    | -9.686820e-01 | -1.862990e+00 | 2.237020e-01 | 3.885030e+01 | 2.041320e+01 | 5.223650e+01 | 7.988760e-02 | 0.000000e+00 | 4.151670e-01 | 63.52 | 56 | 1.134 | 2.286706e-01 | 50.0000 | 1 | 0.988000 | 1.988000 |  
GRB180331A   |    820347    | 8.135400e-01 | -1.253150e+00 | 4.752630e+00 | 7.717860e+01 | 5.434410e+01 | 0.000000e+00 | 3.843660e-02 | 0.000000e+00 | 1.854790e+00 | 48.91 | 56 | 0.8733 | 7.380184e-01 | 50.0000 | 1 | 8.084000 | 9.084000 |  
GRB180329B   |    819490    | -1.888430e+00 | -2.854410e+00 | -1.675920e-01 | 2.126470e+02 | N/A | N/A | 1.015490e-02 | N/A | N/A | 58.85 | 56 | 1.051 | 3.716714e-01 | 50.0000 | 1 | 1.564000 | 2.564000 |  
GRB180329A   |    819301    | -1.048840e+00 | -1.845470e+00 | 1.283050e-01 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 3.822280e-03 | N/A | N/A | 64.06 | 56 | 1.144 | 2.148217e-01 | 50.0000 | 1 | 0.496000 | 1.496000 |  
GRB180325A   |    817564    | -8.449920e-01 | -9.204940e-01 | -6.022040e-01 | 9.997240e+02 | 0.000000e+00 | 0.000000e+00 | 8.727390e-02 | 7.915030e-02 | 1.076740e-01 | 42.59 | 56 | 0.7605 | 9.067948e-01 | 50.0000 | 1 | 80.752000 | 81.752000 |  
GRB180324A   |    817345    | -8.512600e-01 | -1.207890e+00 | -3.998800e-01 | 2.079530e+02 | 1.175480e+02 | 0.000000e+00 | 5.178070e-02 | 3.580670e-02 | 8.150400e-02 | 56.10 | 56 | 1.002 | 4.709507e-01 | 50.0000 | 1 | -0.128000 | 0.872000 |  
GRB180316A   |    814677    | -1.205140e+00 | -1.428510e+00 | -9.097910e-01 | 9.999360e+03 | 0.000000e+00 | 0.000000e+00 | 2.841690e-02 | 0.000000e+00 | 1.008700e-02 | 70.24 | 56 | 1.254 | 9.542601e-02 | 50.0000 | 1 | 1.272000 | 2.272000 |  
GRB180314B   |    814305    | -1.917900e+00 | N/A | N/A | 1.247420e+01 | N/A | N/A | 1.137810e-02 | N/A | N/A | 57.97 | 56 | 1.035 | 4.026600e-01 | 50.0000 | 1 | -0.348000 | 0.652000 |  
GRB180314A   |    814129    | 8.130780e-01 | 1.976070e-01 | 1.516850e+00 | 6.250520e+01 | 5.780940e+01 | 6.845150e+01 | 8.978580e-01 | 4.575700e-01 | 1.932770e+00 | 39.34 | 56 | 0.7024 | 9.554803e-01 | 50.0000 | 1 | 3.052000 | 4.052000 |  
GRB180311A   |    813721    | 4.335370e-02 | -1.877510e+00 | 5.837110e+00 | 5.560530e+01 | 2.616930e+01 | 0.000000e+00 | 3.547190e-02 | 0.000000e+00 | 7.111170e+01 | 57.65 | 56 | 1.029 | 4.141636e-01 | 50.0000 | 1 | 2.876000 | 3.876000 |  
GRB180224A   |    811561    | -1.378340e+00 | -2.178450e+00 | -2.195010e-01 | 4.875730e+01 | N/A | N/A | 2.024200e-02 | N/A | N/A | 47.81 | 56 | 0.8538 | 7.736899e-01 | 50.0000 | 1 | 0.396000 | 1.396000 |  
GRB180222A   |    811235    | -8.035620e-01 | -0.000000e+00 | 9.121260e-01 | 8.697050e+02 | 0.000000e+00 | 0.000000e+00 | 6.793330e-03 | 4.997130e-03 | 3.088180e-02 | 58.39 | 56 | 1.043 | 3.877625e-01 | 50.0000 | 1 | 3.284000 | 4.284000 |  
GRB180221A   |    811074    | -5.102200e-01 | -2.176230e+00 | -0.000000e+00 | 7.353700e+01 | 1.609130e+01 | 0.000000e+00 | 3.805550e-02 | 0.000000e+00 | 8.042340e+02 | 74.12 | 56 | 1.324 | 5.287851e-02 | 50.0000 | 1 | 2.656000 | 3.656000 |  
GRB180205A   |    808625    | -1.053440e+00 | -1.625830e+00 | -4.000490e-01 | 6.841960e+01 | 5.340580e+01 | 1.672300e+02 | 5.622870e-02 | 2.885430e-02 | 1.202940e-01 | 64.63 | 56 | 1.154 | 2.007335e-01 | 50.0000 | 1 | -0.196000 | 0.804000 |  
GRB180204A   |    808483    | -8.189530e-01 | -1.030220e+00 | -3.178750e-01 | 4.437720e+02 | 0.000000e+00 | 0.000000e+00 | 3.707010e-02 | 2.998070e-02 | 6.102550e-02 | 62.34 | 56 | 1.113 | 2.609081e-01 | 50.0000 | 1 | -0.052000 | 0.948000 |  
GRB180115A   |    805318    | -1.478240e+00 | -2.407400e+00 | -4.293310e-01 | 9.999360e+03 | N/A | N/A | 4.670380e-03 | N/A | N/A | 45.03 | 56 | 0.8041 | 8.529222e-01 | 50.0000 | 1 | 30.752000 | 31.752000 |  
GRB180113A   |    804999    | -3.220730e-01 | -8.683990e-01 | 3.128780e-01 | 1.514170e+02 | 1.036740e+02 | 5.778420e+02 | 4.176320e-02 | 2.434190e-02 | 7.684710e-02 | 64.85 | 56 | 1.158 | 1.953087e-01 | 50.0000 | 1 | 10.524000 | 11.524000 |  
GRB180111A   |    804692    | -9.577940e-01 | -1.061130e+00 | -6.046470e-01 | 9.967010e+03 | 0.000000e+00 | 0.000000e+00 | 4.275570e-02 | 4.052830e-02 | 4.503490e-02 | 52.93 | 56 | 0.9451 | 5.919976e-01 | 50.0000 | 1 | 13.888000 | 14.888000 |  
GRB180103A   |    803066    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 50.0000 | N/A | N/A | N/A |  
GRB180102A   |    802999    | -8.125260e-01 | -1.697560e+00 | 5.550130e-01 | 8.321360e+01 | 5.523880e+01 | 0.000000e+00 | 1.800850e-02 | 6.991590e-03 | 8.404450e-02 | 51.00 | 56 | 0.9107 | 6.641112e-01 | 50.0000 | 1 | 0.800000 | 1.800000 |  
GRB171222A   |    799669    | -1.846690e+00 | -2.055760e+00 | 4.779120e-01 | 2.377280e+01 | N/A | N/A | 6.062690e-03 | N/A | N/A | 39.61 | 56 | 0.7072 | 9.523624e-01 | 50.0000 | 1 | 61.344000 | 62.344000 |  
GRB171216A   |    797441    | -1.274110e+00 | N/A | N/A | 6.915700e+02 | N/A | N/A | 7.347460e-03 | N/A | N/A | 44.97 | 56 | 0.8031 | 8.543107e-01 | 50.0000 | 1 | 3.052000 | 4.052000 |  
GRB171212A   |    796778    | -2.274330e+00 | -3.560110e+00 | 1.026120e+00 | 4.418860e+02 | N/A | N/A | 3.951430e-03 | N/A | N/A | 54.14 | 56 | 0.9669 | 5.454460e-01 | 50.0000 | 1 | 90.676000 | 91.676000 |  
GRB171211A   |    796469    | -7.959350e-01 | -1.589270e+00 | 2.171780e-01 | 7.528300e+01 | 5.313090e+01 | 0.000000e+00 | 4.526880e-02 | 1.746880e-02 | 1.598600e-01 | 72.13 | 56 | 1.288 | 7.218848e-02 | 50.0000 | 1 | 0.036000 | 1.036000 |  
GRB171209A   |    796100    | -9.927190e-01 | -1.540240e+00 | -4.586860e-02 | 1.081980e+02 | 6.212130e+01 | 0.000000e+00 | 2.051660e-02 | 1.082840e-02 | 6.384920e-02 | 46.90 | 56 | 0.8375 | 8.017112e-01 | 50.0000 | 1 | 79.516000 | 80.516000 |  
GRB171205A   |    794972    | -1.983010e+00 | -2.807130e+00 | -1.393390e+00 | 9.999330e+03 | 1.911810e+02 | 0.000000e+00 | 6.403430e-03 | 0.000000e+00 | 4.960290e-03 | 63.76 | 56 | 1.139 | 2.223504e-01 | 50.0000 | 1 | 49.076000 | 50.076000 |  
GRB171123A   |    791922    | -1.653770e+00 | -3.139660e+00 | -1.360660e+00 | 9.999340e+03 | N/A | N/A | 6.213890e-03 | N/A | N/A | 55.47 | 56 | 0.9906 | 4.948240e-01 | 50.0000 | 1 | -0.268000 | 0.732000 |  
GRB171120A   |    791201    | -9.449060e-01 | -1.245420e+00 | -6.210510e-01 | 7.537230e+01 | 6.540850e+01 | 9.539590e+01 | 1.614940e-01 | 1.150800e-01 | 2.331570e-01 | 40.38 | 56 | 0.7211 | 9.425012e-01 | 50.0000 | 1 | 39.972000 | 40.972000 |  
GRB171115A   |    790053    | -2.147990e+00 | -2.209740e+00 | -3.433090e-01 | 5.896380e+01 | N/A | N/A | 2.792280e-03 | N/A | N/A | 52.80 | 56 | 0.9429 | 5.967521e-01 | 50.0000 | 1 | -2.324000 | -1.324000 |  
