#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180721A   |    849018    | 2.112350e-01 | 1.354040e-01 | 2.903180e-01 | 2.959200e-01 | 2.371320e-01 | 3.597270e-01 | 2.540900e-01 | 2.033030e-01 | 3.068080e-01 | 1.019860e-01 | 0.000000e+00 | 1.514450e-01 | 1.876550e-01 | 0.000000e+00 | 4.046540e-01 | 8.632290e-01 | 7.171970e-01 | 1.008120e+00 | 9.488660e-01 | 7.426830e-01 | 1.222460e+00 | 1 | 1.816000 | 2.816000 |  
GRB180720C   |    848932    | 2.921030e-01 | 1.871060e-01 | 4.027710e-01 | 3.880790e-01 | 3.211210e-01 | 4.574020e-01 | 3.341480e-01 | 2.748620e-01 | 3.958100e-01 | 1.465000e-01 | 8.882010e-02 | 1.765060e-01 | 3.033080e-01 | 1.230960e-01 | 5.100840e-01 | 1.160830e+00 | 9.815140e-01 | 1.339670e+00 | 1.317640e+00 | 1.045210e+00 | 1.602290e+00 | 1 | 3.220000 | 4.220000 |  
GRB180720B   |    848890    | 1.403050e+01 | 1.260520e+01 | 1.549200e+01 | 2.103300e+01 | 2.002380e+01 | 2.204900e+01 | 2.121830e+01 | 2.015020e+01 | 2.229770e+01 | 1.086900e+01 | 9.905590e+00 | 1.181430e+01 | 2.527040e+01 | 2.007000e+01 | 3.213630e+01 | 6.715090e+01 | 6.452110e+01 | 6.978150e+01 | 8.155220e+01 | 7.573890e+01 | 8.871070e+01 | 1 | 10.936000 | 11.936000 |  
GRB180718A   |    848489    | 3.425330e-01 | 1.562230e-01 | 5.395040e-01 | 3.776270e-01 | 2.433740e-01 | 5.383850e-01 | 2.016210e-01 | 0.000000e+00 | 3.056280e-01 | 4.065600e-02 | 0.000000e+00 | 1.112420e-01 | 5.322430e-02 | 0.000000e+00 | 2.319970e-01 | 9.624320e-01 | 6.478040e-01 | 1.275650e+00 | 9.750290e-01 | 6.488650e-01 | 1.356620e+00 | 1 | -0.448000 | 0.552000 |  
GRB180715A   |    848048    | 1.571630e-01 | 0.000000e+00 | 2.628910e-01 | 3.119570e-01 | 2.247670e-01 | 3.890380e-01 | 4.210880e-01 | 3.415450e-01 | 5.113210e-01 | 2.627820e-01 | 1.820630e-01 | 3.389610e-01 | 6.634060e-01 | 2.758780e-01 | 1.087020e+00 | 1.152940e+00 | 9.481770e-01 | 1.353770e+00 | 1.857800e+00 | 1.071680e+00 | 2.121680e+00 | 1 | -0.256000 | 0.744000 |  
GRB180709A   |    846868    | 1.282340e-01 | 4.226470e-02 | 2.132780e-01 | 1.779600e-01 | 1.139180e-01 | 2.407360e-01 | 1.780360e-01 | 1.251800e-01 | 2.400960e-01 | 1.007260e-01 | 4.626120e-02 | 1.455200e-01 | 2.877590e-01 | 0.000000e+00 | 4.901270e-01 | 5.849360e-01 | 4.184850e-01 | 7.485010e-01 | 7.717370e-01 | 4.680280e-01 | 1.032590e+00 | 1 | 8.732000 | 9.732000 |  
GRB180706A   |    846395    | 1.064100e+00 | 9.177570e-01 | 1.212280e+00 | 1.136460e+00 | 1.046620e+00 | 1.228310e+00 | 6.755060e-01 | 6.069550e-01 | 7.447990e-01 | 1.840390e-01 | 1.287920e-01 | 2.438280e-01 | 2.799740e-01 | 1.671480e-01 | 4.672970e-01 | 3.060110e+00 | 2.840540e+00 | 3.279290e+00 | 3.156040e+00 | 2.902950e+00 | 3.434210e+00 | 1 | 27.824000 | 28.824000 |  
GRB180705A   |    846299    | 2.470410e-01 | 0.000000e+00 | 5.139700e-01 | 2.847390e-01 | 1.532170e-01 | 4.157860e-01 | 1.794250e-01 | 0.000000e+00 | 3.062610e-01 | 4.865090e-02 | 0.000000e+00 | 1.186110e-01 | 7.239050e-02 | 0.000000e+00 | 1.948940e-01 | 7.593250e-01 | N/A | N/A | 7.811020e-01 | 3.904470e-01 | 1.205340e+00 | 1 | 3.264000 | 4.264000 |  
GRB180704A   |    846088    | 1.451710e+00 | 8.526840e-01 | 2.156120e+00 | 3.049570e+00 | 2.545090e+00 | 3.541980e+00 | 3.368470e+00 | 2.863400e+00 | 3.891590e+00 | 1.268980e+00 | 9.133720e-01 | 1.616890e+00 | 1.928570e+00 | 1.161290e+00 | 3.193420e+00 | 9.138720e+00 | 7.957690e+00 | 1.032990e+01 | 9.798290e+00 | 8.340500e+00 | 1.150010e+01 | 1 | 0.044000 | 1.044000 |  
GRB180630A   |    845443    | 2.907480e+00 | 2.670810e+00 | 3.135020e+00 | 2.163820e+00 | N/A | N/A | 1.068880e+00 | 7.403850e-01 | 1.161560e+00 | 3.615040e-01 | 3.063160e-01 | 4.095590e-01 | 7.720880e-01 | 6.630730e-01 | 9.611890e-01 | 6.479450e+00 | 6.143240e+00 | 6.887870e+00 | 6.902440e+00 | 6.515210e+00 | 7.296240e+00 | 1 | 3.648000 | 4.648000 |  
