#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: alpha in the simple power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the simple power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the simple power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Simple power-law (PL) equation: f = norm*(E/enorm)^{alpha}
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | alpha | alpha_low | alpha_hi | norm | norm_low | norm_hi | chi2 | dof | reduced_chi2 | null_prob | enorm | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180721A   |    849018    | -1.207350e+00 | -1.470630e+00 | -9.384290e-01 | 7.499000e-03 | 6.316060e-03 | 8.679800e-03 | 58.15 | 57 | 1.020 | 4.328866e-01 | 50.0000 | 1 | 1.816000 | 2.816000 |  
GRB180720C   |    848932    | -1.239200e+00 | -1.482180e+00 | -9.911790e-01 | 1.003620e-02 | 8.656500e-03 | 1.141570e-02 | 62.79 | 57 | 1.102 | 2.785608e-01 | 50.0000 | 1 | 3.220000 | 4.220000 |  
GRB180720B   |    848890    | -1.025580e+00 | -1.088680e+00 | -9.622250e-01 | 5.889100e-01 | 5.669040e-01 | 6.109060e-01 | 74.42 | 57 | 1.306 | 6.045939e-02 | 50.0000 | 1 | 10.936000 | 11.936000 |  
GRB180718A   |    848489    | -1.756940e+00 | -2.305930e+00 | -1.264520e+00 | 7.254530e-03 | 4.681830e-03 | 9.732320e-03 | 58.08 | 57 | 1.019 | 4.353983e-01 | 50.0000 | 1 | -0.448000 | 0.552000 |  
GRB180715A   |    848048    | -6.770330e-01 | -9.621160e-01 | -3.723270e-01 | 1.021040e-02 | 8.462600e-03 | 1.190730e-02 | 53.05 | 57 | 0.9308 | 6.238642e-01 | 50.0000 | 1 | -0.256000 | 0.744000 |  
GRB180709A   |    846868    | -1.011190e+00 | -1.496830e+00 | -4.856300e-01 | 5.101180e-03 | 3.723760e-03 | 6.458200e-03 | 63.44 | 57 | 1.113 | 2.597716e-01 | 50.0000 | 1 | 8.732000 | 9.732000 |  
GRB180706A   |    846395    | -1.702980e+00 | -1.819790e+00 | -1.588820e+00 | 2.365450e-02 | 2.192380e-02 | 2.536980e-02 | 54.16 | 57 | 0.9501 | 5.824869e-01 | 50.0000 | 1 | 27.824000 | 28.824000 |  
GRB180705A   |    846299    | -1.744660e+00 | -2.597990e+00 | -1.040560e+00 | 5.908950e-03 | 3.176750e-03 | 8.454430e-03 | 42.32 | 57 | 0.7424 | 9.265787e-01 | 50.0000 | 1 | 3.264000 | 4.264000 |  
GRB180704A   |    846088    | -1.108040e+00 | -1.289600e+00 | -9.254230e-01 | 8.244080e-02 | 7.273920e-02 | 9.211390e-02 | 68.97 | 57 | 1.210 | 1.329337e-01 | 50.0000 | 1 | 0.044000 | 1.044000 |  
GRB180630A   |    845443    | -2.020220e+00 | -2.129310e+00 | -1.913240e+00 | 4.309850e-02 | 4.030950e-02 | 4.585540e-02 | 47.97 | 57 | 0.8415 | 7.973042e-01 | 50.0000 | 1 | 3.648000 | 4.648000 |  
GRB180626A   |    844615    | -1.736280e+00 | -1.894980e+00 | -1.582390e+00 | 3.031400e-02 | 2.713440e-02 | 3.346890e-02 | 59.99 | 57 | 1.053 | 3.677137e-01 | 50.0000 | 1 | -3.692000 | -2.692000 |  
