#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB180721A   |    849018    | 2.332840e-01 | 1.691980e-01 | 3.024220e-01 | 2.794880e-01 | 2.293540e-01 | 3.287060e-01 | 2.420880e-01 | 1.967660e-01 | 2.868310e-01 | 1.262950e-01 | 9.151940e-02 | 1.649290e-01 | 3.583130e-01 | 2.369900e-01 | 5.147880e-01 | 8.811530e-01 | 7.407470e-01 | 1.021750e+00 | 1.113170e+00 | 9.273690e-01 | 1.304950e+00 | 1 | 1.816000 | 2.816000 |  
GRB180720C   |    848932    | 3.218400e-01 | 2.384660e-01 | 4.130030e-01 | 3.783200e-01 | 3.156750e-01 | 4.397840e-01 | 3.205260e-01 | 2.693000e-01 | 3.710510e-01 | 1.642820e-01 | 1.243930e-01 | 2.079040e-01 | 4.602180e-01 | 3.204590e-01 | 6.356210e-01 | 1.184970e+00 | 1.015400e+00 | 1.355270e+00 | 1.480900e+00 | 1.270630e+00 | 1.694730e+00 | 1 | 3.220000 | 4.220000 |  
GRB180720B   |    848890    | 1.444550e-03 | N/A | N/A | 4.779440e-02 | N/A | N/A | 5.324740e-01 | N/A | N/A | 1.806640e+00 | N/A | N/A | 5.178780e+01 | N/A | N/A | 2.391630e+00 | N/A | N/A | 5.176540e+01 | N/A | N/A | 1 | 10.936000 | 11.936000 |  
GRB180718A   |    848489    | 3.822950e-01 | 2.176800e-01 | 5.628870e-01 | 3.306030e-01 | 2.262210e-01 | 4.346340e-01 | 1.956600e-01 | 1.112030e-01 | 2.805980e-01 | 7.495170e-02 | 3.207960e-02 | 1.303830e-01 | 1.737490e-01 | 6.338310e-02 | 3.514170e-01 | 9.834990e-01 | 6.742560e-01 | 1.293130e+00 | 1.082270e+00 | 7.413090e-01 | 1.425450e+00 | 1 | -0.448000 | 0.552000 |  
GRB180715A   |    848048    | 1.921900e-01 | 1.254590e-01 | 2.711530e-01 | 3.170360e-01 | 2.444430e-01 | 3.890660e-01 | 3.966000e-01 | 3.355130e-01 | 4.573830e-01 | 2.766480e-01 | 2.123350e-01 | 3.449800e-01 | 9.860390e-01 | 6.765210e-01 | 1.387180e+00 | 1.182480e+00 | 9.958650e-01 | 1.370280e+00 | 1.891940e+00 | 1.556530e+00 | 2.268470e+00 | 1 | -0.256000 | 0.744000 |  
GRB180709A   |    846868    | 1.316840e-01 | 6.465740e-02 | 2.145550e-01 | 1.774770e-01 | 1.154480e-01 | 2.369450e-01 | 1.761100e-01 | 1.245680e-01 | 2.262330e-01 | 1.023840e-01 | 5.857220e-02 | 1.534850e-01 | 3.148500e-01 | 1.510610e-01 | 5.742800e-01 | 5.876550e-01 | 4.276080e-01 | 7.490140e-01 | 8.001210e-01 | 5.764870e-01 | 1.047530e+00 | 1 | 8.732000 | 9.732000 |  
GRB180706A   |    846395    | 1.183380e+00 | 1.060930e+00 | 1.309210e+00 | 1.056350e+00 | 9.846920e-01 | 1.127880e+00 | 6.489440e-01 | 5.878810e-01 | 7.098320e-01 | 2.563320e-01 | 2.195880e-01 | 2.952610e-01 | 6.051650e-01 | 4.999450e-01 | 7.226160e-01 | 3.144990e+00 | 2.933460e+00 | 3.356630e+00 | 3.493810e+00 | 3.259030e+00 | 3.728980e+00 | 1 | 27.824000 | 28.824000 |  
GRB180705A   |    846299    | 3.077420e-01 | 1.300930e-01 | 5.270610e-01 | 2.680420e-01 | 1.551930e-01 | 3.788960e-01 | 1.599740e-01 | 6.934570e-02 | 2.483290e-01 | 6.171010e-02 | 1.688850e-02 | 1.241480e-01 | 1.436400e-01 | 0.000000e+00 | 3.596780e-01 | 7.974610e-01 | 4.691170e-01 | 1.128560e+00 | 8.793850e-01 | 5.241210e-01 | 1.236320e+00 | 1 | 3.264000 | 4.264000 |  
GRB180704A   |    846088    | 3.118420e-04 | 3.007020e-04 | 6.231270e-04 | 3.820230e-03 | 3.722120e-03 | 7.230980e-03 | 8.812430e-03 | N/A | N/A | 1.444000e-01 | 1.447180e-01 | 2.489830e-01 | 4.128390e+00 | 3.661770e+00 | 5.799630e+00 | 3.361550e-02 | N/A | N/A | 4.126520e+00 | 3.703550e+00 | 5.912570e+00 | 1 | 0.044000 | 1.044000 |  
GRB180630A   |    845443    | 2.930520e+00 | 2.664900e+00 | 3.202720e+00 | 2.171900e+00 | 2.048460e+00 | 2.295040e+00 | 1.070890e+00 | 9.792340e-01 | 1.162530e+00 | 3.528210e-01 | 3.054730e-01 | 4.032540e-01 | 7.513670e-01 | 6.306250e-01 | 8.858490e-01 | 6.526140e+00 | 6.142530e+00 | 6.910920e+00 | 6.924680e+00 | 6.535360e+00 | 7.314400e+00 | 1 | 3.648000 | 4.648000 |  
GRB180626A   |    844615    | 1.565930e+00 | 1.335170e+00 | 1.806200e+00 | 1.370760e+00 | 1.232570e+00 | 1.508590e+00 | 8.229290e-01 | 7.157690e-01 | 9.295020e-01 | 3.189830e-01 | 2.576150e-01 | 3.847120e-01 | 7.446100e-01 | 5.732660e-01 | 9.411540e-01 | 4.078580e+00 | 3.670040e+00 | 4.487710e+00 | 4.504180e+00 | 4.061630e+00 | 4.946960e+00 | 1 | -3.692000 | -2.692000 |  
GRB180624A   |    844192    | 5.743000e-01 | 4.396320e-01 | 7.150830e-01 | 4.639680e-01 | 3.887710e-01 | 5.391630e-01 | 2.533830e-01 | 1.869040e-01 | 3.199380e-01 | 9.085370e-02 | 5.671450e-02 | 1.314920e-01 | 2.026980e-01 | 1.153590e-01 | 3.213650e-01 | 1.382500e+00 | 1.157930e+00 | 1.607110e+00 | 1.494340e+00 | 1.248290e+00 | 1.741620e+00 | 1 | 6.016000 | 7.016000 |  
GRB180623A   |    844015    | 1.529940e+00 | 1.407360e+00 | 1.655980e+00 | 1.729650e+00 | 1.645410e+00 | 1.813420e+00 | 1.400560e+00 | 1.328530e+00 | 1.472180e+00 | 6.922210e-01 | 6.355210e-01 | 7.505460e-01 | 1.890170e+00 | 1.690210e+00 | 2.104560e+00 | 5.352370e+00 | 5.119040e+00 | 5.586020e+00 | 6.550310e+00 | 6.261570e+00 | 6.840610e+00 | 1 | 59.108000 | 60.108000 |  
GRB180620B   |    843211    | 8.812110e-01 | 7.760830e-01 | 9.908590e-01 | 1.126840e+00 | 1.042570e+00 | 1.210390e+00 | 1.052400e+00 | 9.822120e-01 | 1.122150e+00 | 5.830590e-01 | 5.230490e-01 | 6.448660e-01 | 1.728780e+00 | 1.494480e+00 | 1.984860e+00 | 3.643500e+00 | 3.415290e+00 | 3.872030e+00 | 4.789220e+00 | 4.482800e+00 | 5.099120e+00 | 1 | -0.332000 | 0.668000 |  
GRB180620A   |    843122    | 2.644250e+00 | 2.406470e+00 | 2.889010e+00 | 2.575900e+00 | 2.433590e+00 | 2.717480e+00 | 1.753280e+00 | 1.638180e+00 | 1.867650e+00 | 7.529910e-01 | 6.748190e-01 | 8.342640e-01 | 1.872370e+00 | 1.628670e+00 | 2.137360e+00 | 7.726420e+00 | 7.319590e+00 | 8.134120e+00 | 8.845790e+00 | 8.395680e+00 | 9.296460e+00 | 1 | 4.468000 | 5.468000 |  
GRB180618A   |    842475    | 4.687320e-01 | 3.755960e-01 | 5.684520e-01 | 6.442290e-01 | 5.637250e-01 | 7.234190e-01 | 6.538510e-01 | 5.837440e-01 | 7.232630e-01 | 3.869810e-01 | 3.229800e-01 | 4.543960e-01 | 1.206580e+00 | 9.443870e-01 | 1.513740e+00 | 2.153800e+00 | 1.938350e+00 | 2.369750e+00 | 2.973390e+00 | 2.652590e+00 | 3.306170e+00 | 1 | -0.076000 | 0.924000 |  
